radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,dbz,eta,dens,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelenght,source_file
KHGX,2017-05-04T01:39:00Z,0,3.76,8.53,-176.35,9.32,23.8,4.00,FALSE,5559.66,505.4,24.10,25.38,58181,65771,59469,72221,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,200,6.20,11.53,-89.29,13.09,28.3,3.67,FALSE,7385.88,671.4,25.34,30.91,76987,83927,84782,113936,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,400,9.56,13.17,-39.01,16.27,36.0,3.57,FALSE,6169.07,560.8,24.55,31.90,50305,53335,52000,78293,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,600,12.27,12.79,-39.58,17.73,43.8,3.50,FALSE,3171.36,288.3,21.67,31.00,30935,33040,34809,55215,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,800,13.17,11.14,-29.68,17.25,49.8,3.71,FALSE,1666.15,151.5,18.87,31.11,14748,16236,25001,40200,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,1000,13.96,7.85,-22.24,16.02,60.6,3.92,FALSE,802.99,73.0,15.70,30.79,7289,8210,21997,32777,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,1200,12.91,3.05,-5.75,13.27,76.7,4.29,FALSE,385.26,35.0,12.51,28.32,3571,5108,18738,26577,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,1400,13.55,0.39,-9.16,13.55,88.4,4.36,FALSE,78.45,7.1,5.60,30.68,2324,6232,15774,25086,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,1600,11.71,-1.31,1.38,11.78,96.4,4.16,FALSE,10.46,1.0,-3.15,28.44,1206,5945,12215,20348,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,1800,11.41,-3.16,3.08,11.84,105.5,4.18,FALSE,8.38,0.8,-4.11,30.30,809,6469,12565,21067,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,2000,9.41,0.54,36.79,9.42,86.7,3.39,FALSE,38.30,3.5,2.48,28.50,661,4218,9088,15681,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,2200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,17.95,1.6,-0.81,28.90,484,3687,8170,15991,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,2400,8.02,1.82,20.85,8.22,77.2,4.94,FALSE,25.99,2.4,0.80,30.50,268,2323,7362,14198,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,2600,9.16,3.09,29.89,9.67,71.3,3.15,FALSE,23.08,2.1,0.28,28.00,379,1346,7612,11705,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,2800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.89,0.1,-13.85,28.59,355,1395,8291,11844,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,3000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.19,0.0,-20.66,29.89,109,1693,7744,12209,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,3200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.10,0.0,-23.27,27.56,91,1527,5847,9766,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,3400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.10,0.0,-23.37,26.75,69,1917,4272,8427,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,3600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.03,0.0,-28.23,26.90,41,2600,3974,9436,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,3800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.02,0.0,-29.92,29.28,41,2853,3294,9132,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,4000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.06,0.0,-25.81,25.46,57,2250,1995,6348,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,4200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.07,0.0,-25.10,25.05,83,3056,2110,7053,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,4400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.10,0.0,-23.15,24.67,123,3639,1923,6717,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,4600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.07,0.0,-24.83,27.39,126,3736,1684,6336,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
KHGX,2017-05-04T01:39:00Z,4800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,0.03,0.0,-29.06,26.68,73,4192,1447,6755,11.000000,1,212,29.47194,-95.07917,5,10.710000,"/Users/alexandertedeschi/Documents/CLO/data_pvol/2017/05/04/KHGX/KHGX20170504_013934_V06"
